question_id,correct_answer,hint,hint_score
0,teacher,,0.0
1,get an advantage over others in job-hunting,"""They break your legs, put in special extending screws, and slowly expand the gap between the two en",0.23007426722932578
2,media are to blame for misleading young people in their seeking for surgery,"No one is born perfect, yet magazines, TV shows and movies present images of thin, tall, beautiful p",0.34364253282546997
3,Young Graduates Look to Surgery for Better Jobs,"Given that I teach students who are training to be doctors, I was surprised do find that most though",0.3958698809146881
4,A Coal Mine Accident in Central China,"YUZHOU, HENAN -An accident in a central China coal mine killed 21 miners Saturday and left another 1",0.4791658818721771
5,Until the next morning another 5 miners were found dead in this accident,A total of 239 workers escaped but 21 were found dead and 16 trapped.,0.5893259048461914
6,Before the accident happened there was no sign of something wrong,"""At around 6 a.m., I felt there was something wrong with the airflow in the shaft, and one of the te",0.4156309626836238
7,All the people should have a good knowledge of how to make career choices and manage their career.,Using good resources and the guidance of a career counselor can help you to make those decisions wel,0.5071937910212734
8,4.,,0.0
9,career decision is misunderstood by many people because they don't take it as a life-long process,Many people mistakenly believe that choosing a career is a one-time event that happens some time in,0.4142843186855316
10,You are to make significant decisions without good resources and the guidance of a career adviser.,Using good resources and the guidance of a career counselor can help you to make those decisions wel,0.5290360485542188
11,They are caring and thoughtful.,,0.0
12,spend their free time in space,Weekends give the crew valuable time to rest and do a few hours of housework.,0.3951788544654846
13,5 dogs and 169 people,"""The dogs learned to sit or lie down in front of cancer patient samples and to ignore control sample",0.3232317268848419
14,the final goal of the researchers is to design an electronic dog to detect cancer,"Researchers have found that cancer cells send out molecules different from those of healthy ones,and",0.4333683252334595
15,Dogs Smell Signs of Cancer,"Researchers have found that cancer cells send out molecules different from those of healthy ones,and",0.4565783739089966
16,Club Saturday Swim,"Fees: $65/$85
Club Saturday Swim
This program is available to anyone aged 5-14 who is challenged by",0.31609559059143066
17,2 Fridays per month,This program is held 2 Fridays per month.,0.43656301498413086
18,improve sibling relationships,It includes group activities and talk treatment ways with the focus on improving sibling relationshi,0.3588014779713969
19,They are all intended for children.,Children aged 9-13 will have the opportunity to meet other children whose parents have separated or,0.5078977346420288
20,was interested in the tooth fairy,Then I'd wonder about the tooth fairy all day.,0.44832438230514526
21,she believed the tooth fairy would come again,Then I'd wonder about the tooth fairy all day.,0.22051702439785004
22,was only half awake,,0.0
23,He saw it in the woman's bag.,The woman opened her bag.,0.2655370831489563
24,he wanted to get something even more precious,"""I know how valuable the stone is, but I give it back and hope that you can give me something even m",0.3902067244052887
